track_id,track_info,artists,name,playcount,explicit,popularity
0grFc6klR3hxoHLcgCYsF4,"{'uri': 'spotify:track:0grFc6klR3hxoHLcgCYsF4', 'playcount': 383985781, 'name': ""Howlin' for You"", 'popularity': 0, 'number': 4, 'duration': 191800, 'explicit': False, 'playable': True, 'artists': [{'name': 'The Black Keys', 'uri': 'spotify:artist:7mnBLXK823vNxN3UWB7Gfz', 'image': {'uri': ''}}]}",['The Black Keys'],Howlin' for You,383985781,False,0
6IY3cC281mz9q0bViUEldz,"{'uri': 'spotify:track:6IY3cC281mz9q0bViUEldz', 'playcount': 58297804, 'name': ""It's A Trip!"", 'popularity': 0, 'number': 3, 'duration': 183524, 'explicit': False, 'playable': True, 'artists': [{'name': 'Joywave', 'uri': 'spotify:artist:1UfzhwcOR4yfX7yHTPfC9m', 'image': {'uri': ''}}]}",['Joywave'],It's A Trip!,58297804,False,0
4djIFfof5TpbSGRZUpsTXq,"{'uri': 'spotify:track:4djIFfof5TpbSGRZUpsTXq', 'playcount': 280977471, 'name': 'Talk Too Much', 'popularity': 0, 'number': 3, 'duration': 187133, 'explicit': False, 'playable': True, 'artists': [{'name': 'COIN', 'uri': 'spotify:artist:0ZxZlO7oWCSYMXhehpyMvE', 'image': {'uri': ''}}]}",['COIN'],Talk Too Much,280977471,False,0
61jCFoNIuzQnc9UovuzNVW,"{'uri': 'spotify:track:61jCFoNIuzQnc9UovuzNVW', 'playcount': 20155087, 'name': 'IRIS', 'popularity': 0, 'number': 2, 'duration': 151578, 'explicit': False, 'playable': True, 'artists': [{'name': 'Ashes To Amber', 'uri': 'spotify:artist:1VjLe0p8LUFKPbyKaQZAgu', 'image': {'uri': ''}}]}",['Ashes To Amber'],IRIS,20155087,False,0
4x1dWc1GgAfC04GcTlllax,"{'uri': 'spotify:track:4x1dWc1GgAfC04GcTlllax', 'playcount': 47776982, 'name': 'Lake Missoula', 'popularity': 0, 'number': 2, 'duration': 106250, 'explicit': False, 'playable': True, 'artists': [{'name': 'Richy Mitch & The Coal Miners', 'uri': 'spotify:artist:4qU7IJSReZnsLy5907Mtau', 'image': {'uri': ''}}]}",['Richy Mitch & The Coal Miners'],Lake Missoula,47776982,False,0
3YQlGFWZGltxXw7hsKxz8C,"{'uri': 'spotify:track:3YQlGFWZGltxXw7hsKxz8C', 'playcount': 935077, 'name': 'Hole in the Bottom of My Brain', 'popularity': 0, 'number': 7, 'duration': 187893, 'explicit': False, 'playable': True, 'artists': [{'name': 'AJR', 'uri': 'spotify:artist:6s22t5Y3prQHyaHWUN1R1C', 'image': {'uri': ''}}]}",['AJR'],Hole in the Bottom of My Brain,935077,False,0
1dHtMSJ1Ozg2Ja6GX4McAO,"{'uri': 'spotify:track:1dHtMSJ1Ozg2Ja6GX4McAO', 'playcount': 25277400, 'name': 'Paul Revere', 'popularity': 0, 'number': 17, 'duration': 213313, 'explicit': False, 'playable': True, 'artists': [{'name': 'Noah Kahan', 'uri': 'spotify:artist:2RQXRUsr4IW1f3mKyKsy4B', 'image': {'uri': ''}}]}",['Noah Kahan'],Paul Revere,25277400,False,0
7d53ASWUBddKKUphnvxj6m,"{'uri': 'spotify:track:7d53ASWUBddKKUphnvxj6m', 'playcount': 1144343, 'name': 'Shooting Glances', 'popularity': 0, 'number': 1, 'duration': 178003, 'explicit': False, 'playable': True, 'artists': [{'name': 'Edgehill', 'uri': 'spotify:artist:0lzGqksyREdfUObGjLYLcT', 'image': {'uri': ''}}]}",['Edgehill'],Shooting Glances,1144343,False,0
3gkObSE7saGaNtNNllYFLi,"{'uri': 'spotify:track:3gkObSE7saGaNtNNllYFLi', 'playcount': 25221258, 'name': 'Who Are You, Really?', 'popularity': 0, 'number': 3, 'duration': 147000, 'explicit': False, 'playable': True, 'artists': [{'name': 'Mikky Ekko', 'uri': 'spotify:artist:1buzCmyYZE4kcdLRudsb8V', 'image': {'uri': ''}}]}",['Mikky Ekko'],"Who Are You, Really?",25221258,False,0
3vkCueOmm7xQDoJ17W1Pm3,"{'uri': 'spotify:track:3vkCueOmm7xQDoJ17W1Pm3', 'playcount': 217774095, 'name': 'My Love Mine All Mine', 'popularity': 0, 'number': 7, 'duration': 137773, 'explicit': False, 'playable': True, 'artists': [{'name': 'Mitski', 'uri': 'spotify:artist:2uYWxilOVlUdk4oV9DvwqK', 'image': {'uri': ''}}]}",['Mitski'],My Love Mine All Mine,217774095,False,0
